iteration,target_tool,question,ok,status,latency_ms,intent,answer_mode,provider_used,model_used,tokens_in,tokens_out,cost_vnd,error
1,get_jar_balance,"Lọ chi tiêu thiết yếu của tôi còn bao nhiêu tiền?",true,200,10620,personal_finance,personal,vertexai,gemini-2.5-pro,11040,31,371.0859407950394,
2,get_jar_balance,"Cho tôi biết số dư lọ dự phòng ngay bây giờ.",true,200,11302,personal_finance,personal,vertexai,gemini-2.5-pro,11036,37,372.5324132786487,
3,get_jar_allocations,"Cho tôi xem tổng quan 6 lọ tài chính của tôi.",true,200,6717,personal_finance,personal,vertexai,gemini-2.5-pro,11402,153,415.071854046613,
4,get_jar_allocations,"Tóm tắt tình hình tất cả các lọ tài chính giúp tôi.",true,200,14590,personal_finance,personal,vertexai,gemini-2.5-pro,11404,175,420.92349273030516,
5,get_jar_statistics,"Từ trước đến giờ lọ giáo dục tôi đã thu chi tổng cộng bao nhiêu?",true,200,16586,personal_finance,personal,vertexai,gemini-2.5-pro,11118,89,388.9038518431357,
6,get_jar_statistics,"Cho tôi số liệu tổng quan lịch sử của lọ hưởng thụ.",true,200,19390,personal_finance,personal,vertexai,gemini-2.5-pro,11112,81,386.60264561921184,
7,get_recent_transactions,"Cho tôi xem 10 giao dịch gần đây nhất của tôi.",true,200,9145,personal_finance,personal,vertexai,gemini-2.5-pro,12743,381,519.1192497425998,
8,get_recent_transactions,"Tôi vừa mới tiêu tiền vào những việc gì gần đây?",true,200,16426,personal_finance,personal,vertexai,gemini-2.5-pro,11867,180,437.45930316792953,
9,get_top_expenses,"Tháng này tôi tiêu nhiều nhất vào việc gì?",true,200,11922,personal_finance,personal,vertexai,gemini-2.5-pro,12226,148,440.8453637545605,
10,get_top_expenses,"Cho tôi biết những chi tiêu đáng kể nhất tuần vừa rồi.",true,200,13850,personal_finance,personal,vertexai,gemini-2.5-pro,12216,268,472.0760196506703,
11,search_transactions,"Tìm giúp tôi giao dịch nào có chữ 'Grab' trong mô tả.",true,200,12731,personal_finance,personal,vertexai,gemini-2.5-pro,11302,91,395.4787267686325,
12,search_transactions,"Có giao dịch nào chứa từ 'sách' trong mô tả không?",true,200,14200,personal_finance,personal,vertexai,gemini-2.5-pro,11321,108,400.57425483589253,
13,get_jar_tags,"Lọ hưởng thụ tôi đang gắn những tag nào?",true,200,11903,personal_finance,personal,vertexai,gemini-2.5-pro,11783,57,402.3494710657767,
14,get_jar_tags,"Cho tôi xem các tag của lọ dự phòng.",true,200,5832,personal_finance,personal,vertexai,gemini-2.5-pro,11651,55,397.48406362090907,
15,get_budget_status,"Ngân sách lọ thiết yếu tháng này còn lại bao nhiêu?",true,200,16054,personal_finance,personal,vertexai,gemini-2.5-pro,12034,57,410.6009390972752,
16,get_budget_status,"Ngân sách còn lại của lọ hưởng thụ tháng này là bao nhiêu?",true,200,26248,personal_finance,personal,vertexai,gemini-2.5-pro,6306,113,237.02424106415964,
17,get_budget_status,"Ngân sách lọ đầu tư tháng này tôi đã xài quá hạn mức chưa?",true,200,24050,personal_finance,personal,vertexai,gemini-2.5-pro,19159,103,656.9286281810128,
18,get_budget_status,"Ngân sách lọ hưởng thụ, tôi đã dùng gần hết chưa?",true,200,40838,hybrid,hybrid,vertexai,gemini-2.5-pro,18170,95,622.3119116982721,
19,get_tag_spending_summary,"Tag nào tôi chi nhiều tiền nhất trong tháng này?",true,200,19165,personal_finance,personal,vertexai,gemini-2.5-pro,12000,211,449.984439901001,
20,get_tag_spending_summary,"Trong tháng 4, tag nào chiếm tỷ trọng chi tiêu cao nhất?",true,200,19649,personal_finance,personal,vertexai,gemini-2.5-pro,11029,48,375.1952376234749,
21,get_monthly_summary,"Cho tôi báo cáo tổng quan thu chi tháng này.",true,200,21522,personal_finance,personal,vertexai,gemini-2.5-pro,12331,1188,717.8119699911131,
22,get_monthly_summary,"Tổng thu nhập và chi tiêu tháng hiện tại là bao nhiêu?",true,200,21516,personal_finance,personal,vertexai,gemini-2.5-pro,12335,61,421.5481058482273,
23,compare_spending_between_two_months,"Chi tiêu của tôi tháng này tăng hay giảm so với tháng trước?",true,200,12596,personal_finance,personal,vertexai,gemini-2.5-pro,11160,181,414.4801153033183,
24,compare_spending_between_two_months,"Đối chiếu chi tiêu lọ thiết yếu giữa tháng này và tháng trước.",true,200,27950,personal_finance,personal,vertexai,gemini-2.5-pro,11160,126,400.01539046722536,
25,get_spending_trend,"Cho tôi xem biến động chi tiêu lọ giáo dục vài tháng qua.",true,200,6266,personal_finance,personal,vertexai,gemini-2.5-pro,5499,12,183.93212604077297,
26,get_spending_trend,"Cho tôi biểu đồ xu hướng chi tiêu tổng thể nửa năm qua.",true,200,16146,personal_finance,personal,vertexai,gemini-2.5-pro,5499,78,201.28979584408452,
27,get_auto_transfers,"Tôi đã thiết lập tự động phân bổ thu nhập chưa?",true,200,19996,personal_finance,personal,vertexai,gemini-2.5-pro,11392,140,411.32417533907983,
28,get_auto_transfers,"Tôi có bao nhiêu lịch tự động chia tiền đang chạy?",true,200,11054,personal_finance,personal,vertexai,gemini-2.5-pro,11392,125,407.3792503837817,
29,can_afford_this,"Với tình hình tài chính hiện tại, tôi có nên mua tai nghe 2 triệu không?",true,200,4491,hybrid,hybrid,vertexai,gemini-2.5-pro,5501,53,194.7806696678427,
30,can_afford_this,"Tôi có đủ tiền để đăng ký khóa học 4 triệu đồng không?",true,200,34739,hybrid,hybrid,vertexai,gemini-2.5-pro,11064,125,396.596455505967,
31,compare_jar_allocation,"Tỷ lệ phân bổ hiện tại của tôi lệch bao nhiêu so với chuẩn?",true,200,18738,hybrid,hybrid,vertexai,gemini-2.5-pro,11153,319,450.5433042696682,
32,compare_jar_allocation,"Cách chia 6 lọ của tôi có cần điều chỉnh gì không?",true,200,22289,personal_finance,personal,vertexai,gemini-2.5-pro,11518,309,459.91250103850115,
33,suggest_jar_rebalancing,"Tôi nên điều chỉnh % các lọ như thế nào cho tốt hơn?",true,200,16875,hybrid,hybrid,vertexai,gemini-2.5-pro,11361,331,460.5371141564234,
34,suggest_jar_rebalancing,"Nếu muốn tiết kiệm nhiều hơn thì tôi nên chỉnh lại tỷ lệ lọ ra sao?",true,200,33292,hybrid,hybrid,vertexai,gemini-2.5-pro,11383,459,494.9237100167716,
35,get_financial_guidelines,"Có lời khuyên nào về việc đặt mục tiêu tiết kiệm không?",true,200,9972,knowledge_6jars,knowledge,vertexai,gemini-2.5-pro,3161,269,174.66155239582247,
36,get_financial_guidelines,"Sinh viên mới đi làm thêm nên bắt đầu quản lý tiền từ đâu?",true,200,27626,knowledge_6jars,knowledge,vertexai,gemini-2.5-pro,1488,126,82.05443907020006,
37,find_scholarship_id_by_name,"Học bổng nào tên gần giống 'Tài năng' vậy, cho tôi ID.",true,200,13904,scholarships,scholarships,vertexai,gemini-2.5-pro,13212,353,527.1734715263334,
38,find_scholarship_id_by_name,"Tìm giúp tôi mã học bổng có tên chứa từ 'Nghị Lực'.",true,200,9481,scholarships,scholarships,vertexai,gemini-2.5-pro,12977,62,442.91644935609196,
39,get_scholarship_details,"Học bổng có hạn nộp sớm nhất yêu cầu những gì?",true,200,19355,scholarships,scholarships,vertexai,gemini-2.5-pro,12531,63,428.51747326925397,
40,get_scholarship_details,"Học bổng đang mở có giá trị cao nhất yêu cầu hồ sơ gì?",true,200,19982,scholarships,scholarships,vertexai,gemini-2.5-pro,12548,73,431.7062876081199,
41,get_all_scholarships,"Cho tôi danh sách đầy đủ các học bổng hiện có.",true,200,31751,scholarships,scholarships,vertexai,gemini-2.5-pro,57711,755,2095.7742568767326,
42,get_all_scholarships,"Đếm giúp tôi số lượng học bổng đang còn hạn nộp.",true,200,12662,scholarships,scholarships,vertexai,gemini-2.5-pro,57711,27,1904.3138990462655,
43,get_all_scholarships,"Xem tất cả học bổng hiện có trên hệ thống.",true,200,26995,scholarships,scholarships,vertexai,gemini-2.5-pro,58679,488,2057.3769873118313,
44,get_my_full_profile,"Hồ sơ cá nhân của tôi hiện đang có những thông tin gì?",true,200,19385,personal_finance,personal,vertexai,gemini-2.5-pro,14677,383,583.2242802661937,
45,get_my_full_profile,"Hồ sơ của tôi hiện có thiếu thông tin gì không?",true,200,28149,scholarships,scholarships,vertexai,gemini-2.5-pro,16121,236,592.0346126663594,
46,get_my_scholarship_applications,"Danh sách hồ sơ học bổng tôi đã nộp là gì?",true,200,12030,scholarships,scholarships,vertexai,gemini-2.5-pro,12721,95,443.1794443531118,
47,get_my_scholarship_applications,"Có hồ sơ học bổng nào của tôi bị từ chối không?",true,200,7689,scholarships,scholarships,vertexai,gemini-2.5-pro,12530,46,424.0136839452886,
48,get_scholarship_application_detail,"Tôi có khả năng đậu học bổng mà tôi vừa apply không?",true,200,22404,scholarships,scholarships,vertexai,gemini-2.5-pro,13640,102,475.2319596149087,
49,get_scholarship_application_detail,"Hồ sơ học bổng tôi nộp tuần trước hiện đang ở bước nào?",true,200,16966,scholarships,scholarships,vertexai,gemini-2.5-pro,13602,128,480.820603301581,
50,get_scholarship_recommendations_for_chat,"Học bổng nào tôi nên apply dựa trên thông tin hiện tại?",true,200,10289,scholarships,scholarships,vertexai,gemini-2.5-pro,12839,95,447.0586205591549,
51,get_scholarship_recommendations_for_chat,"Dựa trên ngành học của tôi, học bổng nào đáng cân nhắc?",true,200,9288,scholarships,scholarships,vertexai,gemini-2.5-pro,12841,62,438.4455344067541,
52,search_scholarship_recommendations_by_criteria,"Tìm học bổng của trường Đại học Bách Khoa cho tôi.",true,200,10718,scholarships,scholarships,vertexai,gemini-2.5-pro,13314,60,453.4691236115143,
53,search_scholarship_recommendations_by_criteria,"Học bổng nào yêu cầu GPA dưới 3.0, phù hợp cho hoàn cảnh khó khăn?",true,200,1100,scholarships,scholarships,vertexai,gemini-2.5-pro,0,0,0,
54,get_scholarship_recommendations_for_described_profile,"Em họ tôi học ngành Kinh tế, GPA 3.0, năm 2 — có học bổng nào phù hợp không?",true,200,1153,scholarships,scholarships,vertexai,gemini-2.5-pro,0,0,0,
55,get_scholarship_recommendations_for_described_profile,"Người quen tôi học ngành Y đa khoa, GPA 3.6, năm 4 — học bổng nào phù hợp?",true,200,961,scholarships,scholarships,vertexai,gemini-2.5-pro,0,0,0,
56,get_latest_scholarship_recommendations_for_chat,"Gần đây có học bổng mới nào không?",true,200,7768,scholarships,scholarships,vertexai,gemini-2.5-pro,13220,56,449.3269524084513,
57,get_latest_scholarship_recommendations_for_chat,"Tuần này có học bổng nào mới xuất hiện không?",true,200,17928,scholarships,scholarships,vertexai,gemini-2.5-pro,13226,70,453.2061286144944,
58,match_scholarships_for_profile,"Với profile: major=Công nghệ thông tin, university=Bách Khoa, skills=[Java, SQL], hãy xếp hạng học bổng phù hợp.",true,200,1208,scholarships,scholarships,vertexai,gemini-2.5-pro,0,0,0,
59,match_scholarships_for_profile,"Xếp hạng học bổng cho hồ sơ: ngành Kế toán, trường Đại học Kinh tế Quốc dân, GPA 3.3, kỹ năng kiểm toán.",true,200,12388,scholarships,scholarships,vertexai,gemini-2.5-pro,12927,124,457.5784204399498,
60,(tổng quát),"Tôi nên làm gì để vừa quản lý tiền tốt hơn vừa tăng cơ hội nhận học bổng?",true,200,25995,scholarships,scholarships,vertexai,gemini-2.5-pro,13146,618,594.6974370111856,
61,(tổng quát),"Nếu tôi đậu học bổng sắp tới thì nên phân bổ số tiền đó vào lọ nào cho hợp lý?",true,200,4564,scholarships,scholarships,vertexai,gemini-2.5-pro,6226,112,234.13129609694104,
62,(tổng quát),"Giúp tôi lên kế hoạch tài chính cho học kỳ tới, có tính đến khả năng nhận học bổng.",true,200,42358,scholarships,scholarships,vertexai,gemini-2.5-pro,22208,660,903.6508097602803,
