iteration,target_tool,question,ok,status,latency_ms,intent,error
96,get_scholarship_recommendations_for_chat,"Với hồ sơ của tôi thì học bổng nào khả thi nhất?",true,200,3071,scholarships,
97,search_scholarship_recommendations_by_criteria,"Học bổng nào yêu cầu GPA từ 3.2 trở lên và hạn nộp trong tháng tới?",true,200,2838,scholarships,
98,search_scholarship_recommendations_by_criteria,"Tìm học bổng của trường Đại học Bách Khoa cho tôi.",true,200,2245,scholarships,
99,search_scholarship_recommendations_by_criteria,"Có học bổng nào dành riêng cho ngành Công nghệ thông tin không?",true,200,2196,scholarships,
100,search_scholarship_recommendations_by_criteria,"Tìm học bổng có giá trị từ 5 triệu trở lên.",true,200,42005,scholarships,
101,get_scholarship_recommendations_for_described_profile,"Bạn tôi GPA 3.5, ngành Công nghệ thông tin, năm 3 — gợi ý học bổng phù hợp cho bạn ấy.",true,200,118,scholarships,
102,get_scholarship_recommendations_for_described_profile,"Em họ tôi học ngành Kinh tế, GPA 3.0, năm 2 — có học bổng nào phù hợp không?",true,200,111,scholarships,
103,get_scholarship_recommendations_for_described_profile,"Một bạn sinh viên ngành Sư phạm, hoàn cảnh khó khăn, GPA 3.4 thì nên apply học bổng nào?",true,200,4113,scholarships,
104,get_scholarship_recommendations_for_described_profile,"Bạn cùng phòng tôi học Khoa học máy tính, GPA 3.7, thích nghiên cứu AI — gợi ý học bổng giúp bạn ấy.",true,200,106,scholarships,
105,get_latest_scholarship_recommendations_for_chat,"Học bổng nào mới được cập nhật gần đây nhất?",true,200,2866,scholarships,
106,get_latest_scholarship_recommendations_for_chat,"Gần đây có học bổng mới nào không?",true,200,2197,scholarships,
107,get_latest_scholarship_recommendations_for_chat,"Cho tôi xem các học bổng vừa được thêm vào hệ thống.",true,200,2566,hybrid,
108,get_latest_scholarship_recommendations_for_chat,"Học bổng mới nhất hiện tại là gì?",true,200,2019,scholarships,
109,match_scholarships_for_profile,"Xếp hạng học bổng phù hợp cho hồ sơ: ngành Khoa học máy tính, trường Đại học Khoa học Tự nhiên, kỹ năng Python và Machine Learning, sở thích nghiên cứu AI.",true,200,125,scholarships,
110,match_scholarships_for_profile,"Với profile: major=Công nghệ thông tin, university=Bách Khoa, skills=[Java, SQL], hãy xếp hạng học bổng phù hợp.",true,200,111,scholarships,
111,match_scholarships_for_profile,"Xếp hạng độ phù hợp học bổng cho hồ sơ: ngành Kinh tế, GPA 3.6, kỹ năng phân tích dữ liệu, sở thích tài chính.",true,200,109,scholarships,
112,match_scholarships_for_profile,"Dựa trên hồ sơ JSON sau, xếp hạng học bổng: {\"major\": \"Sinh học\", \"university\": \"KHTN\", \"interests\": [\"nghiên cứu\", \"công nghệ sinh học\"]}.",true,200,4016,scholarships,
113,(tổng quát),"Tổng hợp giúp tôi tình hình tài chính và cơ hội học bổng hiện tại của tôi.",true,200,17137,scholarships,
114,(tổng quát),"Tôi nên làm gì để vừa quản lý tiền tốt hơn vừa tăng cơ hội nhận học bổng?",true,200,41244,scholarships,
