iteration,description,amount,ok,status,latency_ms,suggested_jar_code,confidence,error
1,"Ăn trưa với bạn ở quán cơm",45000,true,200,2279,enjoyment,0.9,
2,"Cà phê sáng ở highlands",55000,true,200,750,enjoyment,0.9,
3,"Trà sữa buổi chiều",39000,true,200,832,enjoyment,0.9,
4,"Ăn tối gọi Grabfood",85000,true,200,878,enjoyment,0.9,
5,"Đi Grab đến trường",32000,true,200,1136,essentials,0.9,
6,"Đổ xăng xe máy",70000,true,200,774,essentials,0.9,
7,"Vé xe buýt tháng",200000,true,200,864,essentials,0.9,
8,"Mua vé xem phim CGV",90000,true,200,1976,enjoyment,0.98,
9,"Chơi game nạp thẻ",100000,true,200,972,enjoyment,0.9,
10,"Mua sách giáo trình lập trình",250000,true,200,943,education,0.98,
11,"Đóng học phí kỳ này",5000000,true,200,792,education,1,
12,"Mua khóa học online trên Udemy",350000,true,200,422,essentials,0,
13,"Mua áo thun mới",180000,true,200,838,enjoyment,0.9,
14,"Mua giày thể thao",650000,true,200,436,essentials,0,
15,"Khám bệnh ở phòng khám",300000,true,200,455,essentials,0,
16,"Mua thuốc cảm ở nhà thuốc",45000,true,200,615,essentials,0,
17,"Đóng tiền điện tháng này",220000,true,200,466,essentials,0,
18,"Đóng tiền nước",80000,true,200,476,essentials,0,
19,"Đóng tiền internet wifi",165000,true,200,438,essentials,0,
20,"Nạp tiền điện thoại",50000,true,200,411,essentials,0,
21,"Mua quà sinh nhật cho bạn",200000,true,200,416,essentials,0,
22,"Ủng hộ quỹ từ thiện của trường",100000,true,200,435,essentials,0,
23,"Góp tiền mua quà tặng thầy cô 20/11",50000,true,200,786,sharing,0.9,
24,"Chuyển tiền tiết kiệm vào sổ",1000000,true,200,953,investment,0.9,
25,"Mua vàng tích lũy đầu tháng",500000,true,200,729,investment,0.9,
