iteration,target_tool,question,ok,status,latency_ms,intent,error
41,get_jar_tags,"Lọ giáo dục hiện có bao nhiêu tag đang dùng?",true,200,16903,personal_finance,
42,get_jar_tags,"Tag nào đang được gắn cho lọ đầu tư của tôi?",true,200,14605,personal_finance,
43,get_budget_status,"Ngân sách lọ thiết yếu tháng này còn lại bao nhiêu?",true,200,20022,personal_finance,
44,get_budget_status,"Tình trạng ngân sách của lọ giải trí hiện tại ra sao?",true,200,17396,personal_finance,
45,get_budget_status,"Tôi đã dùng hết bao nhiêu % ngân sách lọ ăn uống?",true,200,35746,personal_finance,
46,get_budget_status,"Ngân sách còn lại của lọ hưởng thụ tháng này là bao nhiêu?",true,200,21849,personal_finance,
47,get_budget_status,"Tôi đã tiêu hết bao nhiêu phần trăm ngân sách lọ thiết yếu?",true,200,9503,personal_finance,
48,get_budget_status,"Lọ giáo dục còn bao nhiêu % ngân sách chưa dùng đến?",true,200,23065,personal_finance,
49,get_budget_status,"Ngân sách lọ đầu tư tháng này tôi đã xài quá hạn mức chưa?",true,200,16866,personal_finance,
50,get_budget_status,"Tình hình sử dụng ngân sách lọ dự phòng hiện ra sao?",true,200,19091,personal_finance,
51,get_budget_status,"So với hạn mức ngân sách, lọ chia sẻ của tôi đang ở mức nào?",true,200,13676,hybrid,
52,get_budget_status,"Ngân sách lọ hưởng thụ, tôi đã dùng gần hết chưa?",true,200,39558,hybrid,
53,get_tag_spending_summary,"Tháng 5 tôi chi bao nhiêu cho từng tag trong lọ thiết yếu?",true,200,12128,personal_finance,
54,get_tag_spending_summary,"Tổng hợp chi tiêu theo tag của tháng trước giúp tôi.",true,200,18776,personal_finance,
55,get_tag_spending_summary,"Tag nào tôi chi nhiều tiền nhất trong tháng này?",true,200,24912,personal_finance,
56,get_tag_spending_summary,"Phân tích chi tiêu theo từng tag của tháng hiện tại.",true,200,21642,personal_finance,
57,get_tag_spending_summary,"Cho tôi bảng chi tiêu theo tag của lọ giải trí tháng này.",true,200,17881,personal_finance,
58,get_tag_spending_summary,"Trong tháng 4, tag nào chiếm tỷ trọng chi tiêu cao nhất?",true,200,20669,personal_finance,
59,get_monthly_summary,"Tổng kết thu chi tháng 3 của tôi như thế nào?",true,200,17275,personal_finance,
60,get_monthly_summary,"Tháng trước tôi thu và chi tổng cộng bao nhiêu?",true,200,11692,personal_finance,
